N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  
 , ,5000 , 2500, S, 12, 15, ,12 , 0.237646,1.5269e-05 ,5.159e-06 ,1.1752e-05, 
 , ,5000 , 2500, S, 12, 15, ,14 , 0.237603,2.2292e-05 ,5.41e-06 ,4.549e-06, 
 , ,5000 , 2500, S, 12, 15, ,11 , 0.237512,1.6791e-05 ,5.209e-06 ,1.0921e-05, 
 , ,5000 , 2500, S, 12, 15, ,13 , 0.237582,1.7583e-05 ,5.3e-06 ,9.678e-06, 
 , ,5000 , 2500, S, 12, 15, ,1 , 0.237671,1.2373e-05 ,5.611e-06 ,1.4778e-05, 
 , ,5000 , 2500, S, 12, 15, ,3 , 0.237516,1.4287e-05 ,5.441e-06 ,1.3275e-05, 
 , ,5000 , 2500, S, 12, 15, ,5 , 0.23759,1.4738e-05 ,5.6e-06 ,1.2253e-05, 
 , ,5000 , 2500, S, 12, 15, ,7 , 0.237669,1.7703e-05 ,5.25e-06 ,9.628e-06, 
 , ,5000 , 2500, S, 12, 15, ,9 , 0.237622,1.5419e-05 ,5.2e-06 ,1.1952e-05, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 15, ,8 , 0.250189,1.5309e-05 ,5.2e-06 ,1.2764e-05, 
 , ,5000 , 2500, S, 12, 15, ,10 , 0.251868,1.4898e-05 ,4.989e-06 ,1.2013e-05, 
 , ,5000 , 2500, S, 12, 15, ,12 , 0.250925,1.5689e-05 ,4.839e-06 ,1.1211e-05, 
 , ,5000 , 2500, S, 12, 15, ,14 , 0.251883,1.9717e-05 ,5.12e-06 ,4.729e-06, 
 , ,5000 , 2500, S, 12, 15, ,0 , 0.251755,1.2283e-05 ,5.641e-06 ,1.3656e-05, 
 , ,5000 , 2500, S, 12, 15, ,2 , 0.251821,1.1141e-05 ,5.451e-06 ,1.4407e-05, 
 , ,5000 , 2500, S, 12, 15, ,4 , 0.25017,1.1742e-05 ,5.45e-06 ,1.3465e-05, 
 , ,5000 , 2500, S, 12, 15, ,6 , 0.251633,1.2513e-05 ,5.42e-06 ,1.2253e-05, 
 , ,5000 , 2500, S, 12, 15, ,11 , 0.251661,1.6972e-05 ,5.18e-06 ,9.678e-06, 
 , ,5000 , 2500, S, 12, 15, ,13 , 0.251583,1.8154e-05 ,5.37e-06 ,8.366e-06, 
 , ,5000 , 2500, S, 12, 15, ,1 , 0.25154,1.2533e-05 ,5.35e-06 ,1.4147e-05, 
 , ,5000 , 2500, S, 12, 15, ,3 , 0.251683,1.3816e-05 ,5.751e-06 ,1.2163e-05, 
 , ,5000 , 2500, S, 12, 15, ,5 , 0.251533,1.4958e-05 ,5.511e-06 ,1.1411e-05, 
 , ,5000 , 2500, S, 12, 15, ,7 , 0.251541,1.8054e-05 ,5.65e-06 ,8.366e-06, 
 , ,5000 , 2500, S, 12, 15, ,9 , 0.251567,1.615e-05 ,5.34e-06 ,1.0569e-05, 
